batch_id	date_old	date	action	value	Comments
8	27/6/2024	 2024-06-27	inoculation	29	
8	10/7/2024	 2024-07-10	wet_mass_measurement	13	
8	2/9/2024	 2024-09-02	dry_mass_measurement	54	
9			condition	water deficit	
9			scientist	nektaria	
9			plant_chamber	common aralab	
9			irrigation_frequency_	0	
9			final_irrigation_volume_(ml)	0	
9			irrigation_volume/irrigation	0	
9			irrigation_number	0	
9	29/5/2024	 2024-05-29	plant_seeds		
9	27/6/2024	 2024-06-27	inoculation	29	
9	10/7/2024	 2024-07-10	wet_mass_measurement	13	
9	2/9/2024	 2024-09-02	dry_mass_measurement	54	
10			condition	pgp	
10			scientist	nektaria, eva	
10			plant_chamber	aralab	
10			irrigation_frequency_	8 times every other day and twice daily	
10			final_irrigation_volume_(ml)	110 ml	
10			irrigation_volume/irrigation	1(5)_5(10)_4(15)	
10			irrigation_number	10	
10	4/9/2024	 2024-09-04	plant_seeds		
10	4/10/2024	 2024-10-04	inoculation	30	
10	24/10/24	 2024-10-24	wet_mass_measurement	20	
10	3/12/2024	 2024-12-03	dry_mass_measurement	40	
11			condition	nacl	
11			scientist	nektaria, eva	
11			plant_chamber	aralab	
11			irrigation_frequency_	3 daily_1 every second/third/fourth day	
11			final_irrigation_volume_(ml)	110 ml	
11			irrigation_volume/irrigation		
11			irrigation_number		
11	4/9/2024	 2024-09-04	plant_seeds		
11	14/10/2024	 2024-10-14	inoculation	40	
11	1/11/2024	 2024-11-01	wet_mass_measurement	18	
11	11/12/2024	 2024-12-11	dry_mass_measurement	40	
12			condition	water deficit	
12			scientist	nektaria	
12			plant_chamber	common aralab	
12			irrigation_frequency_		
12			final_irrigation_volume_(ml)		
12			irrigation_volume/irrigation		
12			irrigation_number		
12	4/9/2024	 2024-09-04	plant_seeds		
12	16/10/2024	 2024-10-16	inoculation	42	
12	23/10/2024	 2024-10-23	wet_mass_measurement	7	
12	2/12/2024	 2024-12-02	dry_mass_measurement	40	
13			condition	water deficit	
13			scientist	nektaria, eva	
13			plant_chamber	common aralab	
13			irrigation_frequency_		
13			final_irrigation_volume_(ml)		
13			irrigation_volume/irrigation		
13			irrigation_number		
13	25/10/2024	 2024-10-25	plant_seeds		
13	26/11/2024	 2024-11-26	inoculation		
13			wet_mass_measurement		
13			dry_mass_measurement		
14			condition	nacl	
14			scientist	nektaria, eva	
14			plant_chamber	aralab	
14			irrigation_frequency_		
14			final_irrigation_volume_(ml)		
14			irrigation_volume/irrigation		
14			irrigation_number		
14	25/10/2024	 2024-10-25	plant_seeds		
14	26/11/2024	 2024-11-26	inoculation		
14			wet_mass_measurement		
14			dry_mass_measurement		
15			condition	pgp	
15			scientist	nektaria, eva	
15			plant_chamber	aralab	
15			irrigation_frequency_		
15			final_irrigation_volume_(ml)		
15			irrigation_volume/irrigation		
15			irrigation_number		
15	25/10/2024	 2024-10-25	plant_seeds		
15	26/11/24	 2024-11-26	inoculation		
15			wet_mass_measurement		
15			dry_mass_measurement		
16			plant_seeds		
			condition	pathogen_infection	
			scientist	stefanos	
17			plant_seeds		
			condition	pathogen_infection	
			scientist	stefanos	
18			plant_seeds		
			condition	pathogen_infection	
			scientist	stefanos	
