microbe_id	plant_id	batch_id	photo_id	OD	var_fresh_weight_mg	var_dry_weight_mg	var_rosette_diameter_cm	var_rosette_leaves	var_dry_rosette_leaves	var_stem_leaves	var_stem_height_cm	var_number_of_stems	var_stem_siliques	comments	condition
288;295;378	B1	16	16_nacl_002_2	0.46	363	73	6.2	11	4	3	20.5	1	18		nacl
288;295;378	B2	16	16_nacl_002_2	0.46	376	75	7.1	11	3	3	18.5	1	20		nacl
288;295;378	B3	16	16_nacl_002_2	0.46	538	89	8.5	16	4	2	0.5	1	1		nacl
288;295;378	C1	16	16_nacl_002_2	0.46	295	52	6.2	11	2	4	14.8	1	14		nacl
288;295;378	C2	16	16_nacl_002_2	0.46	319	68	5.5	10	3	3	21.5	1	21		nacl
288;295;378	C3	16	16_nacl_002_2	0.46	302	66	6.6	13	4	5	7.4	1	5		nacl
Control	A1	17	17_pgp_control_2	0	195	31	5.2	9	1	5	17.5	1	10		pgp
Control	A2	17	17_pgp_control_2	0	591	104	7.6	10	1	3	28.6	1	22		pgp
Control	A3	17	17_pgp_control_2	0	300	48	6.2	9	2	5	17.2	2	10		pgp
Control	B1	17	17_pgp_control_2	0	490	117	6	12	2	2	28.5	1	20		pgp
Control	B2	17	17_pgp_control_2	0	481	109	7.3	10	2	4	25.5	1	21		pgp
Control	B3	17	17_pgp_control_2	0	582	121	8.8	11	4	4	24.2	1	18		pgp
Control	C1	17	17_pgp_control_2	0	572	85	9.3	9	1	5	23.5	2	15		pgp
Control	C2	17	17_pgp_control_2	0	347	61	7.6	11	0	2	23	1	19		pgp
Control	C3	17	17_pgp_control_2	0	829	138	9	9	0	3	28.2	2	18		pgp
003;574;630	A1	17	17_pgp_001_2	0.35	748	103	8.6	11	2	4	25.4	2	16		pgp
003;574;630	A2	17	17_pgp_001_2	0.35	238	36	6	8	0	3	23.5	1	17		pgp
003;574;630	A3	17	17_pgp_001_2	0.35	590	97	7.5	12	0	3	29.2	1	22		pgp
003;574;630	B1	17	17_pgp_001_2	0.35	501	89	6.7	12	1	3	25.2	1	17		pgp
003;574;630	B2	17	17_pgp_001_2	0.35	1165	203	10	10	2	5	28	3	22		pgp
003;574;630	B3	17	17_pgp_001_2	0.35	569	88	9	10	0	5	18.5	2	7		pgp
003;574;630	C1	17	17_pgp_001_2	0.35	744	150	8.5	14	3	4	28	1	24		pgp
003;574;630	C2	17	17_pgp_001_2	0.35	423	87	7.3	10	1	3	25.5	1	21		pgp
003;574;630	C3	17	17_pgp_001_2	0.35	504	106	7.6	12	1	3	25.5	1	22		pgp
288;295;378	A1	17	17_pgp_002_2	0.46	449	91	7.7	9	2	3	28.2	1	20		pgp
288;295;378	A2	17	17_pgp_002_2	0.46	976	176	9.3	16	3	5	28.8	2	18		pgp
288;295;378	A3	17	17_pgp_002_2	0.46	413	71	7.2	14	3	4	24.5	1	18		pgp
288;295;378	B1	17	17_pgp_002_2	0.46	523	76	7.5	11	1	6	17.7	2	10		pgp
288;295;378	B2	17	17_pgp_002_2	0.46	973	170	8.4	13	3	3	32	1	31		pgp
288;295;378	B3	17	17_pgp_002_2	0.46	388	67	5.7	9	0	2	26.2	1	23		pgp
288;295;378	C1	17	17_pgp_002_2	0.46	857	124	8.3	17	3	6	19.8	3	11		pgp
288;295;378	C2	17	17_pgp_002_2	0.46	543	88	7.3	11	2	3	28.7	1	24		pgp
288;295;378	C3	17	17_pgp_002_2	0.46	582	108	8.3	9	2	2	29.2	1	26		pgp
Control	A1	18	18_wd_control_2	0	53	53	5.5	6	0	2	16.6	1	6		water_deficit
Control	A2	18	18_wd_control_2	0	78	56	5.2	10	2	1	13	1	4		water_deficit
Control	A3	18	18_wd_control_2	0	76	75	5.8	9	1	3	15	1	8		water_deficit
Control	B1	18	18_wd_control_2	0	47	46	5.7	11	1	1	5.8	1	0		water_deficit
Control	B2	18	18_wd_control_2	0	69	65	5.6	8	0	2	15.1	1	8		water_deficit
Control	B3	18	18_wd_control_2	0	48	41	4.5	8	1	2	14.2	1	5		water_deficit
Control	C1	18	18_wd_control_2	0	44	40	4.8	7	2	2	14.3	1	6		water_deficit
Control	C2	18	18_wd_control_2	0	55	47	5.4	13	2	2	12.5	1	6		water_deficit
Control	C3	18	18_wd_control_2	0	41	40	4.8	10	1	3	9.3	1	4		water_deficit
003;574;630	A1	18	18_wd_001_2	0.35	92	72	6.2	9	1	3	16.5	1	9		water_deficit
003;574;630	A2	18	18_wd_001_2	0.35	71	49	NA	NA	NA	3	12.5	2	5		water_deficit
003;574;630	A3	18	18_wd_001_2	0.35	35	34	4.7	10	1	3	6.5	1	0		water_deficit
003;574;630	B1	18	18_wd_001_2	0.35	101	73	4.2	7	1	2	24.2	1	12		water_deficit
003;574;630	B2	18	18_wd_001_2	0.35	81	67	5.2	13	2	4	21.2	1	10		water_deficit
003;574;630	B3	18	18_wd_001_2	0.35	61	57	4	7	2	3	18.6	1	10		water_deficit
003;574;630	C1	18	18_wd_001_2	0.35	69	51	4.5	8	1	4	8	1	4		water_deficit
003;574;630	C2	18	18_wd_001_2	0.35	62	61	5.2	7	1	4	10.6	1	5		water_deficit
003;574;630	C3	18	18_wd_001_2	0.35	64	54	4	6	1	3	16.6	1	14		water_deficit
288;295;378	A1	18	18_wd_002_2	0.46	61	57	5.5	11	1	5	9.4	1	6		water_deficit
288;295;378	A2	18	18_wd_002_2	0.46	77	70	6.8	8	2	2	22.2	1	13		water_deficit
288;295;378	A3	18	18_wd_002_2	0.46	65	66	5	14	2	3	6.4	2	1		water_deficit
288;295;378	B1	18	18_wd_002_2	0.46	143	77	6.1	10	2	5	14	2	6		water_deficit
288;295;378	B2	18	18_wd_002_2	0.46	162	89	6.7	13	3	5	13.6	2	8		water_deficit
288;295;378	B3	18	18_wd_002_2	0.46	68	37	5.1	8	2	5	8.5	2	3		water_deficit
288;295;378	C1	18	18_wd_002_2	0.46	76	61	5.2	6	2	1	4.6	2	3		water_deficit
288;295;378	C2	18	18_wd_002_2	0.46	54	54	4.3	9	2	3	13.8	1	6		water_deficit
288;295;378	C3	18	18_wd_002_2	0.46	128	113	6.8	8	4	4	15.4	3	5		water_deficit
